keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Cathegory
doxepin,46.0,38.91666666666666,37.25,39.75,41.583333333333336,41.75,42.25,58.66666666666666,58.833333333333336,61.5,63.083333333333336,61.91666666666666,52.083333333333336,56.25,59.5,57.5,59.333333333333336,54.333333333333336,Antidepressants
Anafranil,27.08333333333333,12.5,9.083333333333334,10.583333333333334,11.0,13.166666666666666,10.416666666666666,9.0,7.75,8.75,8.416666666666666,9.833333333333334,7.333333333333333,9.083333333333334,9.0,9.583333333333334,11.25,8.666666666666666,Antidepressants
Clomipramin,8.333333333333334,10.5,6.083333333333333,10.666666666666666,6.916666666666667,7.583333333333333,8.166666666666666,8.833333333333334,9.0,9.416666666666666,8.333333333333334,7.75,7.5,7.5,5.833333333333333,5.833333333333333,6.5,6.083333333333333,Antidepressants
Bupropion,13.25,8.666666666666666,5.25,3.333333333333333,7.25,6.083333333333333,6.416666666666667,7.083333333333333,7.083333333333333,7.083333333333333,8.416666666666666,8.416666666666666,10.833333333333334,16.5,20.33333333333333,23.166666666666668,24.08333333333333,27.08333333333333,Antidepressants
Celexa,13.25,12.083333333333334,18.0,14.75,10.833333333333334,5.333333333333333,4.833333333333333,5.666666666666667,9.083333333333334,2.6666666666666665,3.25,3.25,3.583333333333333,5.0,2.333333333333333,1.8333333333333333,1.5,1.5833333333333333,Antidepressants
Cymbalta,7.583333333333333,46.333333333333336,41.66666666666666,39.583333333333336,44.66666666666666,39.91666666666666,46.75,53.41666666666666,57.583333333333336,63.41666666666666,71.33333333333333,66.0,41.0,34.166666666666664,32.416666666666664,22.83333333333333,20.25,17.75,Antidepressants
desyrel,15.583333333333334,8.333333333333334,18.75,7.833333333333333,5.666666666666667,8.916666666666666,6.083333333333333,15.083333333333334,8.583333333333334,2.1666666666666665,3.25,7.083333333333333,4.75,2.583333333333333,0.8333333333333334,2.9166666666666665,1.0833333333333333,3.5,Antidepressants
Trazodon,18.08333333333333,12.916666666666666,12.75,7.0,11.0,8.916666666666666,11.0,16.0,17.916666666666668,20.416666666666668,23.33333333333333,24.58333333333333,21.58333333333333,24.25,27.5,32.166666666666664,31.166666666666668,37.66666666666666,Antidepressants
venlafaxin,8.583333333333334,9.666666666666666,7.416666666666667,4.083333333333333,6.083333333333333,22.25,32.5,50.0,60.583333333333336,67.41666666666667,74.91666666666667,78.91666666666667,69.08333333333333,73.5,78.66666666666667,86.75,73.16666666666667,71.91666666666667,Antidepressants
Selegilin,17.916666666666668,13.25,15.083333333333334,13.333333333333334,2.6666666666666665,6.416666666666667,7.333333333333333,3.1666666666666665,7.333333333333333,9.666666666666666,7.583333333333333,3.8333333333333335,9.25,7.75,6.333333333333333,6.5,4.75,6.333333333333333,Antidepressants
spravato,15.666666666666666,19.416666666666668,2.333333333333333,6.5,3.4166666666666665,7.75,1.5,2.1666666666666665,0.0,1.4166666666666667,0.4166666666666667,0.4166666666666667,1.3333333333333333,0.4166666666666667,1.25,4.75,6.5,9.25,Antidepressants
Perphenazin,0.0,0.0,17.666666666666668,30.416666666666668,5.666666666666667,9.666666666666666,6.5,13.5,6.166666666666667,7.166666666666667,14.583333333333334,9.083333333333334,6.916666666666667,5.583333333333333,3.75,9.833333333333334,5.833333333333333,4.5,Antidepressants
Amitriptylin,15.916666666666666,13.5,20.166666666666668,21.25,23.58333333333333,27.166666666666668,35.416666666666664,46.333333333333336,49.41666666666666,54.16666666666666,63.083333333333336,67.08333333333333,58.25,62.0,68.0,76.66666666666667,79.66666666666667,81.16666666666667,Antidepressants
elavil,10.0,5.5,1.0833333333333333,2.5,1.5833333333333333,3.8333333333333335,2.6666666666666665,0.3333333333333333,0.0,1.4166666666666667,1.6666666666666667,2.1666666666666665,0.5,0.1666666666666666,1.25,0.3333333333333333,0.8333333333333334,0.5833333333333334,Antidepressants
Desvenlafaxin,0.0,6.416666666666667,10.416666666666666,6.833333333333333,1.25,2.25,1.9166666666666667,2.9166666666666665,1.9166666666666667,0.3333333333333333,1.1666666666666667,0.9166666666666666,1.25,2.333333333333333,1.5,2.083333333333333,2.25,1.5833333333333333,Antidepressants
lurasidon,26.08333333333333,6.75,2.333333333333333,1.5,0.0,1.0833333333333333,1.0833333333333333,2.0,1.25,1.0,3.333333333333333,1.5,0.0,1.25,0.75,0.9166666666666666,0.4166666666666667,0.6666666666666666,Antidepressants
lamictal,37.25,26.83333333333333,12.333333333333334,31.666666666666668,20.416666666666668,15.333333333333334,21.58333333333333,12.416666666666666,17.5,14.0,12.083333333333334,12.333333333333334,8.0,9.75,6.833333333333333,10.75,8.166666666666666,9.583333333333334,Antidepressants
Lamotrigin,9.666666666666666,14.083333333333334,15.75,16.666666666666668,16.583333333333332,19.25,20.5,25.166666666666668,28.416666666666668,28.666666666666668,35.5,36.25,30.33333333333333,35.333333333333336,37.75,42.583333333333336,39.083333333333336,37.66666666666666,Antidepressants
lexapro,13.0,25.666666666666668,22.666666666666668,15.75,27.75,21.166666666666668,34.166666666666664,8.583333333333334,8.166666666666666,4.416666666666667,6.0,10.333333333333334,10.5,11.833333333333334,14.333333333333334,11.166666666666666,11.416666666666666,15.75,Antidepressants
Chlordiazepoxid,13.166666666666666,3.25,2.333333333333333,7.166666666666667,2.0,4.666666666666667,6.166666666666667,5.583333333333333,3.083333333333333,2.333333333333333,3.1666666666666665,3.75,2.0,2.6666666666666665,1.5,2.583333333333333,2.1666666666666665,2.1666666666666665,Antidepressants
marplan,14.583333333333334,12.333333333333334,10.333333333333334,3.583333333333333,2.1666666666666665,0.6666666666666666,2.333333333333333,3.5,1.3333333333333333,2.333333333333333,1.8333333333333333,1.0,1.0,0.8333333333333334,2.083333333333333,1.3333333333333333,0.9166666666666666,1.6666666666666667,Antidepressants
